g3_1_1bits,g3_2_1bits,g3_3_1bits,g3_1_2bits,g3_2_2bits,g3_3_2bits,g3_1_3bits,g3_2_3bits,g3_3_3bits,g3_1_4bits,g3_2_4bits,g3_3_4bits,g3_1_5bits,g3_2_5bits,g3_3_5bits,g3_1_6bits,g3_2_6bits,g3_3_6bits,g3_1_7bits,g3_2_7bits,g3_3_7bits,g3_1_8bits,g3_2_8bits,g3_3_8bits,g3_1_9bits,g3_2_9bits,g3_3_9bits,g3_1_10bits,g3_2_10bits,g3_3_10bits,g3_1_11bits,g3_2_11bits,g3_3_11bits,g3_1_12bits,g3_2_12bits,g3_3_12bits,g3_1_13bits,g3_2_13bits,g3_3_13bits,g3_1_14bits,g3_2_14bits,g3_3_14bits,g3_1_15bits,g3_2_15bits,g3_3_15bits,g3_1_16bits,g3_2_16bits,g3_3_16bits
-0.1742,0.2458,-0.1742,-0.1742,0.10579999999999998,-0.03420000000000001,-0.1742,0.0658,-0.0542,-0.1462,0.04980000000000001,-0.03419999999999998,-0.1606516129032258,0.05612258064516129,-0.03871612903225807,-0.16086666666666666,0.05246666666666666,-0.03420000000000001,-0.16097165354330709,0.05068188976377952,-0.03199527559055118,-0.15937647058823529,0.04979999999999998,-0.03255294117647059,-0.1594054794520548,0.05018356164383561,-0.032830136986301384,-0.15983049853372433,0.050374780058651036,-0.03296832844574779,-0.15983751831949194,0.050265070835368825,-0.03283214460185638,-0.15984102564102565,0.050312820512820516,-0.03296923076923078,-0.15979150286900257,0.05033668660725188,-0.032935197167623,-0.15979238234755538,0.05034861746932795,-0.03291818348287859,-0.15980563982055115,0.05035458235419782,-0.03293531296731467,-0.1597994506752117,0.05035115587090866,-0.032931059739070734
-0.1742,0.2458,-0.1742,-0.1742,0.10579999999999998,-0.03420000000000001,-0.1742,0.0658,0.0058,-0.1742,0.04980000000000001,-0.006199999999999983,-0.1742,0.042574193548387096,-0.02516774193548388,-0.1742,0.04579999999999998,-0.020866666666666672,-0.1742,0.05068188976377952,-0.018766929133858273,-0.1742,0.04979999999999998,-0.0193764705882353,-0.1742,0.04936164383561642,-0.019679452054794516,-0.1742,0.04914310850439882,-0.019419941348973596,-0.1742,0.04903400097703958,-0.019495554469956017,-0.1742,0.04908205128205129,-0.019533333333333347,-0.1742,0.04910606763520939,-0.019552215846660947,-0.1742,0.04909243728254897,-0.019536019044131103,-0.1742,0.049098440504165786,-0.01952792138431958,-0.1742,0.04910144197756924,-0.019530281528954002
-0.1742,0.2458,-0.1742,-0.1742,0.10579999999999998,-0.03420000000000001,-0.1742,0.0658,0.0058,-0.1742,0.04980000000000001,-0.006199999999999983,-0.1606516129032258,0.05612258064516129,-0.011619354838709683,-0.16753333333333334,0.05246666666666666,-0.007533333333333336,-0.16758582677165354,0.05068188976377952,-0.008845669291338593,-0.16761176470588235,0.04979999999999998,-0.00949411764705882,-0.16680273972602738,0.04936164383561642,-0.008994520547945223,-0.16722052785923752,0.04955366568914957,-0.009156011730205277,-0.1672239374694675,0.04964953590620422,-0.009236638983878831,-0.16722564102564103,0.04959487179487179,-0.009174358974358976,-0.16717521670125748,0.04961882554022709,-0.009194506165303373,-0.1672012818165171,0.04963080021973998,-0.009230214246475021,-0.16720149540696433,0.04962396923734244,-0.009222431104464857,-0.16720160219729915,0.04962055390249484,-0.009218539711604495
-0.1742,0.2458,-0.1742,-0.1742,0.10579999999999998,-0.03420000000000001,-0.1742,0.0658,0.0058,-0.1462,0.04980000000000001,-0.006199999999999983,-0.1471032258064516,0.042574193548387096,-0.011619354838709683,-0.14753333333333332,0.04579999999999998,-0.007533333333333336,-0.1510503937007874,0.044067716535433066,-0.01215275590551182,-0.15114117647058822,0.04321176470588234,-0.011141176470588238,-0.15036438356164383,0.042786301369863,-0.010638356164383578,-0.1507982404692082,0.042984750733137844,-0.010798240469208215,-0.15060449438202247,0.043083829995114814,-0.010672887151929655,-0.1506102564102564,0.04313333333333333,-0.01071282051282052,-0.1506131363691857,0.04315807593700405,-0.010681504089854715,-0.1505889397546237,0.04314480864310566,-0.010691485075993407,-0.15060247810296945,0.04315099337748346,-0.010683657338175584,-0.1506028381780728,0.043147676813916236,-0.010679743648432133
-0.1742,-0.1742,-0.1742,-0.1742,-0.03420000000000001,-0.03420000000000001,-0.1142,0.0058,0.0058,-0.1182,0.021800000000000014,-0.006199999999999983,-0.12000645161290321,0.0290258064516129,-0.011619354838709683,-0.12086666666666666,0.03246666666666667,-0.014200000000000018,-0.12128661417322834,0.030839370078740158,-0.015459842519685046,-0.12149411764705882,0.03003529411764705,-0.016082352941176464,-0.12077534246575342,0.030457534246575324,-0.015569863013698643,-0.12082756598240468,0.03066803519061584,-0.015724926686217,-0.12085363947239863,0.030567953102100642,-0.01600752320468979,-0.12076410256410255,0.030620512820512813,-0.015943589743589753,-0.12082190208765717,0.030646783054572108,-0.015911634721035267,-0.12079952389672222,0.030659915766343165,-0.01592129646584875,-0.12080115359965818,0.03066648152104251,-0.0159261268959624,-0.12080196841382468,0.030669764248111686,-0.015928542000457763
-0.1742,-0.1742,-0.1742,-0.03420000000000001,-0.03420000000000001,-0.03420000000000001,-0.1142,0.0058,0.0058,-0.09019999999999999,-0.006199999999999983,-0.006199999999999983,-0.09290967741935484,0.0019290322580645114,-0.02516774193548388,-0.08753333333333334,0.0058,-0.020866666666666672,-0.08821574803149607,0.00768976377952757,-0.018766929133858273,-0.08690588235294118,0.0069764705882352784,-0.0193764705882353,-0.08707671232876713,0.0074438356164383546,-0.019679452054794516,-0.08675131964809384,0.0076768328445747935,-0.019419941348973596,-0.08679404005862237,0.007793160723009285,-0.019495554469956017,-0.08681538461538461,0.007748717948717954,-0.019430769230769224,-0.08677477719448175,0.007777780490782565,-0.019449664265657418,-0.08680574986266251,0.00779230910089726,-0.019433473722761413,-0.08679559923093355,0.00778675496688741,-0.019438196966460153,-0.08679693293659876,0.007783978027008476,-0.01944055848020143
-0.1742,-0.1742,-0.1742,-0.03420000000000001,-0.03420000000000001,-0.03420000000000001,-0.0542,0.0058,0.0058,-0.06219999999999999,-0.006199999999999983,-0.006199999999999983,-0.06581290322580645,-0.02516774193548388,-0.011619354838709683,-0.060866666666666666,-0.020866666666666672,-0.020866666666666672,-0.06175905511811024,-0.018766929133858273,-0.018766929133858273,-0.062200000000000005,-0.0193764705882353,-0.017729411764705882,-0.06324109589041096,-0.019679452054794516,-0.01803561643835616,-0.06293900293255131,-0.019419941348973596,-0.018188269794721407,-0.06278817782120176,-0.019495554469956017,-0.018264484611626775,-0.06291794871794872,-0.019430769230769224,-0.018302564102564117,-0.06288025882065681,-0.019449664265657418,-0.018270321084116692,-0.06286141732283465,-0.019433473722761413,-0.018279838857352126,-0.06286481521042511,-0.019438196966460153,-0.018284597308267453,-0.0628729228656443,-0.01944055848020143,-0.01828056763561456
-0.1742,-0.1742,-0.1742,-0.03420000000000001,-0.03420000000000001,-0.03420000000000001,-0.0542,-0.0542,0.0058,-0.03419999999999998,-0.06219999999999999,-0.006199999999999983,-0.03871612903225807,-0.052264516129032254,0.0019290322580645114,-0.04086666666666666,-0.047533333333333344,-0.0008666666666666822,-0.038609448818897635,-0.048530708661417316,-0.0022314960629921388,-0.03749411764705882,-0.049023529411764716,-0.002905882352941175,-0.03776164383561645,-0.04844657534246577,-0.0032410958904109666,-0.037895014662756604,-0.04898005865102639,-0.002997653958944274,-0.03796160234489496,-0.04883605276013678,-0.003081289692232536,-0.0378923076923077,-0.048764102564102574,-0.0030205128205128273,-0.037857673055792934,-0.04877941643267,-0.0030414113050909464,-0.03786599523896722,-0.048812708295184026,-0.0030518586339498277,-0.03787015594958343,-0.04880371715445417,-0.0030570818201239025,-0.03787223620965896,-0.048799221789883274,-0.003053284504463266
-0.1742,-0.1742,-0.1742,-0.03420000000000001,-0.03420000000000001,-0.03420000000000001,0.0058,-0.0542,0.0058,-0.006199999999999983,-0.06219999999999999,0.021800000000000014,-0.011619354838709683,-0.06581290322580645,0.015477419354838706,-0.014200000000000018,-0.06753333333333333,0.019133333333333336,-0.01215275590551182,-0.06837322834645669,0.01761102362204725,-0.014435294117647074,-0.06714117647058823,0.01685882352941176,-0.013926027397260288,-0.06735068493150685,0.01648493150684932,-0.013672140762463342,-0.06745513196480937,0.015887976539589455,-0.013750561797752803,-0.06730210063507572,0.01600029311187104,-0.013687179487179485,-0.06743076923076922,0.016056410256410247,-0.013706775729459164,-0.06739252838481259,0.01608445855206936,-0.013742208386742366,-0.06739904779344442,0.016072843801501563,-0.013734287545396268,-0.06740230719931638,0.01607985473189491,-0.013730327306019696,-0.06739752803845274,0.01607695124742503
-0.1742,-0.1742,0.2458,-0.03420000000000001,-0.03420000000000001,0.10579999999999998,0.0058,-0.0542,0.0658,0.021800000000000014,-0.09019999999999999,0.04980000000000001,0.015477419354838706,-0.07936129032258064,0.042574193548387096,0.019133333333333336,-0.0742,0.039133333333333326,0.01761102362204725,-0.07829448818897637,0.04076062992125984,0.018505882352941178,-0.07702352941176471,0.04156470588235292,0.017306849315068484,-0.07721369863013698,0.041142465753424645,0.017530205278592392,-0.07730850439882697,0.04093196480938416,0.01764171958964339,-0.07735583781143136,0.04103204689789938,0.017697435897435887,-0.07748205128205128,0.04108205128205128,0.017725283848125994,-0.07744258332315956,0.04110704431693324,0.017687932613074525,-0.07744848928767625,0.04109390221571141,0.01769489425336468,-0.07745144199957274,0.041100149540696435,0.017698374914168008,-0.07745291828793774,0.04109686427100023
