c3_1,c3_2,c3_3,d3_1,d3_2,d3_3,e3_1,e3_2,e3_3,f3_1,f3_2,f3_3,g3_1,g3_2,g3_3,a4_1,a4_2,a4_3,b3_1,b3_2,b3_3,c-3_1,c-3_2,c-3_3,d-3_1,d-3_2,d-3_3,f-3_1,f-3_2,f-3_3,g-3_1,g-3_2,g-3_3,a-4_1,a-4_2,a-4_3,c3_4,c3_5,d3_4,d3_5,e3_4,e3_5,f3_4,f3_5,g3_4,g3_5,a4_4,a4_5,b3_4,b3_5,c-3_4,c-3_5,d-3_4,d-3_5,f-3_4,f-3_5,g-3_4,g-3_5,a-4_4,a-4_5,b3_6,b3_7,e3_6,e3_7,f3_6,f3_7
-0.003143,-0.001648,-0.000977,-0.0001831,-0.001862,-0.001282,-0.0003052,-0.0007324,0.0002747,-0.001465,-0.000977,-0.001007,-0.001282,0.0006104,-0.002594,-0.001465,9.16e-05,0.0002747,0.001892,0.000977,0.001251,-0.00119,-0.000702,-0.001465,-0.0006104,-0.001465,-0.0004883,-0.002655,-0.000763,-0.0005493,0.0007935,0.001068,-0.0002136,0.0006104,-0.001556,-0.002167,-0.000702,-0.000702,-0.000641,-0.000702,-0.000702,-0.0006104,-0.001923,-0.001831,-0.001099,-0.001312,0.0004272,-0.00058,0.002747,0.0002441,-0.001007,-0.001465,-0.00119,-0.0006714,-0.002197,-0.001801,0.001617,0.0002747,-3.05e-05,-0.00116,0.001038,0.001251,0.00119,0.001068,-0.0006714,0.00058
-0.003082,-0.001526,-0.001129,-0.0001831,-0.001862,-0.001129,-0.0003662,-0.0006104,0.0002441,-0.001434,-0.001129,-0.000946,-0.001556,0.000641,-0.002625,-0.001587,6.1e-05,0.0002136,0.001831,0.001068,0.001404,-0.001282,-0.0007324,-0.001495,-0.00058,-0.001465,-0.0004272,-0.002655,-0.000763,-0.0004272,0.000641,0.0009155,-0.0003662,0.0006104,-0.001648,-0.00235,-0.000641,-0.000641,-0.0004883,-0.00058,-0.000763,-0.000641,-0.002014,-0.001862,-0.001343,-0.001404,0.0003052,-0.0008545,0.002716,0.0,-0.001068,-0.001495,-0.00119,-0.000641,-0.002258,-0.001862,0.001617,3.05e-05,-9.16e-05,-0.001221,0.000946,0.001129,0.000977,0.000885,-0.000641,0.000763
-0.0029,-0.001404,-0.001221,-0.0002136,-0.001892,-0.001068,-0.0004883,-0.0005493,0.0001831,-0.001434,-0.00119,-0.001038,-0.001892,0.000824,-0.002777,-0.001709,0.0,0.0001831,0.001587,0.001099,0.001465,-0.001312,-0.0007935,-0.001526,-0.00058,-0.001556,-0.000519,-0.002625,-0.0007324,-0.0002136,0.0004578,0.0007324,-0.0004272,0.0005493,-0.001831,-0.00241,-0.0005493,-0.00058,-0.0003662,-0.0004883,-0.000763,-0.000641,-0.002045,-0.001953,-0.001495,-0.001495,0.0001221,-0.001099,0.002655,-0.0002136,-0.001068,-0.001587,-0.001251,-0.0006714,-0.00241,-0.001923,0.001404,-0.0001221,-0.0001831,-0.001343,0.0008545,0.001068,0.0007324,0.000702,-0.000763,0.001068
-0.002625,-0.001343,-0.00119,-0.0001831,-0.001892,-0.0009155,-0.0006104,-0.0004272,0.0002136,-0.001343,-0.001373,-0.001038,-0.002258,0.0009155,-0.002808,-0.0017395,0.0,9.16e-05,0.001282,0.001007,0.001465,-0.001434,-0.0009155,-0.001648,-0.0006104,-0.001556,-0.0004883,-0.002502,-0.000763,-0.0001221,0.0002136,0.0006104,-0.00058,0.00058,-0.001984,-0.002472,-0.0005493,-0.0006104,-0.0002441,-0.0003967,-0.000824,-0.0006714,-0.002045,-0.001923,-0.001617,-0.001587,-6.1e-05,-0.001312,0.002533,-0.0003662,-0.00116,-0.001587,-0.001251,-0.0007324,-0.00238,-0.001953,0.001129,-0.0003052,-0.0003662,-0.001495,0.0007324,0.000885,0.00058,0.0006104,-0.000885,0.001312
-0.00235,-0.001404,-0.001068,-0.0002136,-0.001923,-0.000763,-0.000641,-0.0003357,0.0002136,-0.001251,-0.001495,-0.001068,-0.00238,0.001129,-0.002869,-0.001862,3.05e-05,-6.1e-05,0.000885,0.0008545,0.001434,-0.001465,-0.000946,-0.00177,-0.00058,-0.001587,-0.0004578,-0.00235,-0.000702,-3.05e-05,0.0001526,0.0004272,-0.000702,0.0004883,-0.002106,-0.002502,-0.000519,-0.0005493,-6.1e-05,-0.0003357,-0.000885,-0.000702,-0.001984,-0.001892,-0.001678,-0.001678,-0.0002136,-0.001495,0.002441,-0.000519,-0.001129,-0.001526,-0.001343,-0.0008545,-0.002441,-0.001923,0.000702,-0.0004883,-0.0003967,-0.001617,0.000641,0.000885,0.0004272,0.0003967,-0.000885,0.001404
-0.002045,-0.001343,-0.000885,-0.0001831,-0.001984,-0.00058,-0.0006714,-0.0001831,0.0003357,-0.00116,-0.001434,-0.001099,-0.002502,0.001282,-0.002869,-0.001953,3.05e-05,-0.0001221,0.000519,0.000702,0.001404,-0.001587,-0.0009155,-0.001892,-0.0005493,-0.001526,-0.0004578,-0.002106,-0.0006714,3.05e-05,-3.05e-05,0.0003052,-0.0007935,0.0003967,-0.002167,-0.002502,-0.0005493,-0.00058,6.1e-05,-0.0002136,-0.0009155,-0.000641,-0.00177,-0.00177,-0.001648,-0.001648,-0.0003662,-0.001617,0.002258,-0.0006714,-0.001099,-0.001465,-0.001343,-0.000824,-0.002441,-0.001831,0.0003052,-0.000641,-0.0004578,-0.0017395,0.0006104,0.0007935,0.0003357,0.0003662,-0.000946,0.001434
-0.0017395,-0.001129,-0.0006104,-0.0001831,-0.002106,-0.000519,-0.0007935,-6.1e-05,0.0003967,-0.001068,-0.001465,-0.001129,-0.002533,0.001282,-0.0029,-0.002045,0.0001221,-0.0002136,0.0001221,0.0004883,0.001221,-0.001587,-0.0008545,-0.002075,-0.0005493,-0.001495,-0.0004883,-0.001831,-0.000641,-3.05e-05,-0.0002136,0.0001526,-0.000885,0.0003662,-0.002167,-0.00241,-0.0004272,-0.0004578,6.1e-05,-0.0002136,-0.000885,-0.000641,-0.001526,-0.001556,-0.001678,-0.001648,-0.000519,-0.001709,0.002197,-0.000763,-0.001099,-0.001495,-0.001373,-0.0008545,-0.00241,-0.001801,-9.155e-05,-0.0008545,-0.0004883,-0.001801,0.0004272,0.000824,0.0003967,0.0003662,-0.000885,0.001373
-0.001434,-0.000763,-0.0002441,-6.1e-05,-0.002136,-0.0004272,-0.000824,3.05e-05,0.00058,-0.000977,-0.001434,-0.001068,-0.002472,0.001465,-0.00296,-0.002197,0.0001221,-0.0003357,-0.0002441,0.0003662,0.001068,-0.001617,-0.000763,-0.002258,-0.000519,-0.001434,-0.0004578,-0.001526,-0.00058,-9.155e-05,-0.0003052,3.05e-05,-0.000977,0.0002747,-0.002228,-0.00238,-0.0003357,-0.0003357,3.05e-05,-0.0002136,-0.0009155,-0.0005493,-0.001251,-0.001221,-0.001617,-0.001678,-0.0007324,-0.0017395,0.002075,-0.000946,-0.001129,-0.001526,-0.001404,-0.000885,-0.002441,-0.00177,-0.000519,-0.001007,-0.0006104,-0.001862,0.0003357,0.0007935,0.0004272,0.0004272,-0.000824,0.001343
-0.001221,-0.0002136,-6.1e-05,6.1e-05,-0.002167,-0.0003052,-0.000885,6.1e-05,0.0007324,-0.000885,-0.001312,-0.001007,-0.00238,0.001465,-0.00299,-0.002289,0.0001526,-0.0002747,-0.0004883,0.0001831,0.0009155,-0.001587,-0.000763,-0.00232,-0.0003967,-0.001312,-0.0004578,-0.001129,-0.00058,-0.0003052,-0.0003357,-9.155e-05,-0.001038,0.0002441,-0.002228,-0.002289,-0.0003052,-0.0003357,-3.05e-05,-0.0002136,-0.000885,-0.0004883,-0.001068,-0.000946,-0.001495,-0.001617,-0.0007935,-0.001862,0.001923,-0.001038,-0.001251,-0.001526,-0.001373,-0.0009155,-0.00235,-0.00177,-0.000763,-0.001221,-0.0007324,-0.001892,0.0002441,0.0009155,0.0005493,0.0004578,-0.000519,0.001038
-0.00119,0.0003357,0.0001526,0.0002136,-0.002197,-0.0003662,-0.0009155,0.0001221,0.000824,-0.000824,-0.001282,-0.0009155,-0.00235,0.001404,-0.00299,-0.00232,0.0001831,-0.0003052,-0.0006714,0.0001221,0.000824,-0.001556,-0.000641,-0.002289,-0.0004272,-0.00119,-0.0004883,-0.0007935,-0.0006714,-0.000519,-0.0004883,-0.0003357,-0.001129,0.0001221,-0.002289,-0.002258,-0.0002747,-0.0003357,-0.0002136,-0.0002441,-0.0009155,-0.0004883,-0.000885,-0.000641,-0.001282,-0.001526,-0.000885,-0.00177,0.001801,-0.001099,-0.001312,-0.001648,-0.001434,-0.000885,-0.00235,-0.001831,-0.000885,-0.001343,-0.0007935,-0.001923,0.0001831,0.001007,0.000641,0.000519,-0.0003052,0.0007324
-0.001068,0.0007324,0.0002441,0.0003967,-0.002258,-0.0003662,-0.000946,0.0001526,0.000763,-0.0007935,-0.001221,-0.0008545,-0.002441,0.001282,-0.003052,-0.00241,0.0002136,-0.0004578,-0.0007324,0.0001221,0.0007324,-0.001434,-0.0006714,-0.00232,-0.0003967,-0.00116,-0.0004578,-0.0005493,-0.0005493,-0.000641,-0.000641,-0.0004272,-0.001221,-3.05e-05,-0.00241,-0.002197,-0.0002747,-0.0003052,-0.0003357,-0.0002441,-0.001038,-0.0004578,-0.000702,-0.0003967,-0.001099,-0.001556,-0.001038,-0.0017395,0.00177,-0.001068,-0.001465,-0.001801,-0.001404,-0.000885,-0.00232,-0.001801,-0.0007935,-0.001465,-0.0009155,-0.001953,0.0002441,0.00116,0.000641,0.0006104,3.05e-05,0.0005493
-0.001038,0.001068,0.0002747,0.0005493,-0.002228,-0.0003357,-0.000946,6.1e-05,0.000763,-0.000824,-0.001251,-0.0007935,-0.002625,0.001129,-0.003174,-0.002441,0.0002441,-0.000519,-0.000702,0.0001831,0.000702,-0.001312,-0.000824,-0.002228,-0.0003052,-0.001068,-0.0003662,-0.0003662,-0.0005493,-0.000824,-0.000702,-0.00058,-0.001343,-3.05e-05,-0.002594,-0.002106,-0.0003357,-0.0002747,-0.0004883,-0.0003052,-0.001099,-0.0004272,-0.000641,-9.16e-05,-0.000763,-0.001556,-0.001038,-0.001556,0.001648,-0.000977,-0.001648,-0.001862,-0.001465,-0.000885,-0.002258,-0.001892,-0.0006104,-0.001587,-0.001007,-0.001862,0.0002136,0.001282,0.0007324,0.000641,0.0002747,0.0002747
-0.000946,0.001221,0.0002441,0.000824,-0.002167,-0.0003052,-0.000946,6.1e-05,0.0007324,-0.0008545,-0.00116,-0.000824,-0.002747,0.000885,-0.003174,-0.00238,0.0002136,-0.00058,-0.00058,0.0003052,0.0006714,-0.001251,-0.000977,-0.002106,-0.0003662,-0.000946,-0.0003967,-0.0001526,-0.0004578,-0.000946,-0.0006714,-0.000519,-0.001343,-0.0001221,-0.002716,-0.001984,-0.0004272,-0.0003357,-0.000702,-0.0004578,-0.001129,-0.0004883,-0.00058,0.0,-0.0003357,-0.001465,-0.001007,-0.001434,0.001526,-0.000946,-0.001801,-0.001953,-0.001434,-0.000977,-0.002197,-0.001953,-0.0006714,-0.001526,-0.001099,-0.001892,0.0002441,0.001404,0.0007324,0.0007324,0.000519,-0.0001221
-0.000824,0.001068,0.0001831,0.001038,-0.002106,-0.0003357,-0.001007,3.05e-05,0.0005493,-0.0008545,-0.001099,-0.0008545,-0.00293,0.0006714,-0.003204,-0.002441,0.0002441,-0.000519,-0.0003357,0.0003967,0.0006104,-0.00119,-0.00116,-0.002014,-0.0003662,-0.000946,-0.0003967,0.0001221,-0.0003662,-0.001099,-0.000702,-0.0006714,-0.001404,-0.0001221,-0.002869,-0.001801,-0.0003662,-0.0003357,-0.0009155,-0.000519,-0.001129,-0.0004272,-0.0006104,0.0,3.05e-05,-0.001434,-0.001007,-0.00119,0.001556,-0.000824,-0.001801,-0.001984,-0.001465,-0.000977,-0.002106,-0.001953,-0.0006104,-0.001465,-0.001068,-0.00177,0.0003052,0.001495,0.0008545,0.0007935,0.0006104,-0.0004578
-0.0005493,0.000885,0.0002747,0.001282,-0.001953,-0.0003662,-0.000977,9.16e-05,0.0004272,-0.000946,-0.001007,-0.0009155,-0.00299,0.0004272,-0.003174,-0.002502,0.0002747,-0.000519,-0.0001221,0.000519,0.00058,-0.001129,-0.001404,-0.001923,-0.0003662,-0.000946,-0.0004272,0.0001526,-0.0003967,-0.001251,-0.00058,-0.000702,-0.001434,-6.1e-05,-0.0029,-0.001556,-0.0003967,-0.0002747,-0.001129,-0.0006104,-0.00119,-0.0004883,-0.0005493,-3.05e-05,0.000519,-0.001373,-0.0009155,-0.0009155,0.001526,-0.0006104,-0.001892,-0.001984,-0.001495,-0.000977,-0.001984,-0.001862,-0.0006714,-0.001373,-0.001099,-0.001526,0.0004272,0.001526,0.0008545,0.000885,0.0007324,-0.0008545
-0.0002441,0.0006714,0.0002747,0.001587,-0.001862,-0.0002747,-0.001007,0.0001221,0.0003967,-0.000977,-0.0009155,-0.000885,-0.003052,0.0001526,-0.003082,-0.002502,0.0002441,-0.000519,0.0003662,0.00058,0.0006104,-0.001068,-0.001648,-0.001801,-0.0003662,-0.000885,-0.0004578,0.0003357,-0.0003052,-0.001404,-0.0003967,-0.0006714,-0.001495,-9.16e-05,-0.0029,-0.001434,-0.0004578,-0.0002136,-0.001312,-0.000702,-0.00119,-0.0004578,-0.000519,-0.0001221,0.000885,-0.001373,-0.0008545,-0.000702,0.001465,-0.0004578,-0.001892,-0.002014,-0.001526,-0.001038,-0.001831,-0.001648,-0.000885,-0.00119,-0.001129,-0.001373,0.000519,0.001587,0.000885,0.001007,0.000702,-0.001251
-9.16e-05,0.0004883,0.0002747,0.00177,-0.001709,-0.0002136,-0.001007,0.0001526,0.0003357,-0.001007,-0.000763,-0.000977,-0.00293,-6.1e-05,-0.00299,-0.002563,0.0003357,-0.0005493,0.0007935,0.000702,0.00058,-0.001068,-0.001709,-0.001648,-0.0003662,-0.000946,-0.0004883,0.0004272,-0.0002747,-0.001404,-0.0001221,-0.000641,-0.001556,-6.1e-05,-0.002838,-0.001251,-0.0004578,-0.0001831,-0.001465,-0.0007935,-0.00116,-0.0004272,-0.0006104,-0.0002136,0.001221,-0.001312,-0.0007324,-0.0003662,0.001587,-0.0003662,-0.001862,-0.001923,-0.001587,-0.001068,-0.00177,-0.001495,-0.001038,-0.000977,-0.000977,-0.00116,0.0006104,0.001617,0.000977,0.001038,0.00058,-0.001587
0.0001221,0.0003967,0.0003967,0.002014,-0.001617,-0.0001831,-0.001007,0.0001526,0.0003052,-0.000885,-0.000702,-0.000824,-0.002808,-0.0002136,-0.0029,-0.002655,0.0003662,-0.0005493,0.001312,0.0007935,0.0006714,-0.001007,-0.00177,-0.001495,-0.0004578,-0.000946,-0.000519,0.0004883,-0.0003052,-0.001495,3.05e-05,-0.00058,-0.001617,-6.1e-05,-0.002777,-0.001007,-0.0003662,6.1e-05,-0.001526,-0.0007935,-0.00119,-0.0004272,-0.000519,-0.0001831,0.001465,-0.001251,-0.00058,-0.0001831,0.001617,-0.0002136,-0.001831,-0.001923,-0.001587,-0.001099,-0.001801,-0.001312,-0.001282,-0.0007935,-0.0009155,-0.0009155,0.0006714,0.001617,0.000977,0.001099,0.0004883,-0.001923
0.0002441,0.0003052,0.0004272,0.002136,-0.001526,-0.0002441,-0.000977,0.0001526,0.0002136,-0.0008545,-0.000702,-0.000763,-0.002808,-0.0004272,-0.002808,-0.002655,0.0003662,-0.0004883,0.00177,0.000885,0.0006714,-0.001007,-0.001801,-0.001312,-0.0004883,-0.000946,-0.000519,0.0004272,-0.0002441,-0.001434,0.0002441,-0.0005493,-0.001678,-3.05e-05,-0.002686,-0.0008545,-0.0002747,0.0002136,-0.001587,-0.0008545,-0.00116,-0.0003662,-0.00058,-0.0002441,0.001678,-0.001221,-0.0004578,0.0,0.001709,-0.0001221,-0.001831,-0.001953,-0.001587,-0.001129,-0.001648,-0.001221,-0.001343,-0.00058,-0.0008545,-0.0007324,0.000824,0.001617,0.000977,0.001129,0.0003662,-0.002197
0.0002441,0.0002136,0.0004578,0.002289,-0.001495,-0.0001831,-0.000977,0.0001526,0.0002441,-0.0007935,-0.00058,-0.0006714,-0.002686,-0.000641,-0.002655,-0.002686,0.0003967,-0.0005493,0.002106,0.000885,0.000763,-0.0008545,-0.001678,-0.001007,-0.000519,-0.0009155,-0.0005493,0.0003662,-0.0002136,-0.001343,0.0003967,-0.0004272,-0.001801,-3.05e-05,-0.002563,-0.000763,-0.0001526,0.0003052,-0.001617,-0.000885,-0.001251,-0.0003357,-0.0006104,-0.0002747,0.001862,-0.001221,-0.0002747,0.0001221,0.001678,-9.16e-05,-0.001892,-0.002014,-0.001617,-0.001221,-0.001648,-0.001038,-0.001373,-0.0003357,-0.000702,-0.000519,0.000946,0.001709,0.000946,0.001038,0.0003967,-0.00232
0.0001526,0.0,0.0004578,0.00235,-0.001343,-0.0001526,-0.000977,6.1e-05,0.0003052,-0.0007935,-0.0005493,-0.000641,-0.002716,-0.0009155,-0.002502,-0.002625,0.0004272,-0.0005493,0.00232,0.000977,0.000763,-0.000824,-0.001556,-0.0007324,-0.0005493,-0.000885,-0.0006104,0.0002136,-0.0001831,-0.001251,0.0005493,-0.0004578,-0.001831,3.05e-05,-0.002502,-0.0006104,0.0,0.0004883,-0.001587,-0.000977,-0.00119,-0.0002747,-0.000763,-0.0003662,0.001923,-0.001129,-0.0001526,0.0001221,0.001678,-0.0001221,-0.001984,-0.002136,-0.001648,-0.001251,-0.001648,-0.000946,-0.001251,-0.0001221,-0.000641,-0.0003967,0.001007,0.00177,0.000946,0.0009155,0.0003052,-0.002258
0.0,-0.0003052,0.0004883,0.00241,-0.001282,-0.0002441,-0.000977,6.1e-05,0.0002747,-0.0007935,-0.000519,-0.0006714,-0.002808,-0.00116,-0.00232,-0.002502,0.0004883,-0.0006104,0.002289,0.0009155,0.000824,-0.000824,-0.001404,-0.0003357,-0.0005493,-0.000824,-0.0005493,-9.155e-05,-0.0001526,-0.001251,0.000641,-0.0003967,-0.001801,3.05e-05,-0.00241,-0.000641,9.16e-05,0.0004883,-0.001556,-0.000946,-0.001251,-0.0002136,-0.000946,-0.0004578,0.001953,-0.001068,-3.05e-05,9.16e-05,0.001617,-0.0001526,-0.002075,-0.002197,-0.001678,-0.001312,-0.00177,-0.000977,-0.001007,0.0,-0.00058,-0.0002136,0.001007,0.001953,0.000885,0.000824,0.0003357,-0.002136
-0.0001831,-0.00058,0.000519,0.00235,-0.001251,-0.0001831,-0.001007,9.16e-05,0.0003052,-0.0007324,-0.0004578,-0.000702,-0.00296,-0.001404,-0.002136,-0.00241,0.000519,-0.0005493,0.002167,0.000885,0.000824,-0.0006714,-0.001282,3.05e-05,-0.000519,-0.000946,-0.0006104,-0.0003357,-6.104e-05,-0.001251,0.0006104,-0.0002747,-0.001831,-3.05e-05,-0.00238,-0.000763,0.0001831,0.0004578,-0.001587,-0.000885,-0.001343,-0.0002441,-0.001038,-0.0006104,0.001923,-0.000977,6.1e-05,3.05e-05,0.001495,-0.0002441,-0.002228,-0.002289,-0.001709,-0.001343,-0.00177,-0.001007,-0.0007935,0.0002747,-0.000519,-0.0001831,0.001038,0.002289,0.000946,0.000641,0.0003052,-0.001923
-0.0004272,-0.001007,0.0004578,0.002167,-0.00116,-0.0001526,-0.000946,0.0,0.0003967,-0.000885,-0.0003967,-0.0009155,-0.003052,-0.001587,-0.001984,-0.002289,0.0005493,-0.0004883,0.001862,0.000702,0.0007935,-0.00058,-0.001221,0.0002747,-0.000519,-0.0009155,-0.0006104,-0.000641,-3.05e-05,-0.001129,0.0006714,-0.0001831,-0.00177,0.0,-0.002258,-0.000763,0.0001221,0.0003052,-0.001465,-0.000885,-0.001343,-0.0001526,-0.00119,-0.000824,0.001801,-0.0009155,0.0001526,-3.05e-05,0.001373,-0.0003357,-0.00232,-0.00235,-0.001709,-0.001312,-0.001801,-0.001007,-0.0004883,0.0004883,-0.000519,-0.0001526,0.001007,0.002625,0.000824,0.0004883,0.0002136,-0.001709
-0.0006104,-0.001343,0.0004883,0.002045,-0.001068,-0.0001526,-0.0009155,6.1e-05,0.0004883,-0.001038,-0.0003052,-0.001068,-0.003113,-0.00177,-0.001709,-0.002197,0.0004578,-0.0004883,0.001404,0.0004883,0.0006104,-0.0003967,-0.001099,0.000519,-0.0005493,-0.001038,-0.00058,-0.0008545,-9.155e-05,-0.001068,0.0006714,-0.0001221,-0.001587,0.0,-0.002136,-0.0007324,0.0001221,0.0002136,-0.001343,-0.0008545,-0.001343,-0.0001526,-0.001404,-0.001038,0.001587,-0.000824,0.0002136,-0.0001831,0.001221,-0.000519,-0.00238,-0.00232,-0.001648,-0.001373,-0.001892,-0.001007,-0.0003357,0.0006714,-0.0004883,-0.0001221,0.000885,0.00296,0.0007935,0.0003662,6.104e-05,-0.001556
-0.000763,-0.001617,0.0005493,0.0017395,-0.000977,-6.1e-05,-0.000824,0.0001526,0.0004883,-0.001038,-0.0002136,-0.001221,-0.003113,-0.00177,-0.001556,-0.002075,0.0004578,-0.0004578,0.0007935,0.0001831,0.0003967,-0.0003052,-0.001007,0.000702,-0.00058,-0.001099,-0.0005493,-0.001038,-3.05e-05,-0.001099,0.0004883,0.0,-0.001465,-3.05e-05,-0.002014,-0.000824,9.16e-05,0.0,-0.00116,-0.0007324,-0.001373,-0.0001831,-0.001495,-0.001251,0.001404,-0.000763,0.0002747,-0.0002136,0.001038,-0.0006104,-0.00232,-0.002258,-0.001617,-0.001282,-0.001923,-0.001007,-0.0001526,0.000763,-0.0004883,-0.0001831,0.000824,0.003204,0.0007324,0.0003357,-0.0001831,-0.001282
-0.0008545,-0.00177,0.0006714,0.001465,-0.000977,-3.05e-05,-0.0007935,0.0002136,0.0004578,-0.001129,-3.05e-05,-0.001221,-0.00299,-0.00177,-0.001434,-0.001984,0.0004578,-0.0004578,0.0002747,-0.0001831,0.0003052,-0.0001831,-0.0007935,0.0008545,-0.0006104,-0.001129,-0.0005493,-0.001221,-6.104e-05,-0.001038,0.0004578,0.0001221,-0.001343,-6.1e-05,-0.00177,-0.0008545,0.0,-0.0001221,-0.001007,-0.00058,-0.001343,-0.0001831,-0.001648,-0.001434,0.001068,-0.000702,0.0002747,-0.0003967,0.000824,-0.000763,-0.002228,-0.002167,-0.001648,-0.001343,-0.001892,-0.001007,-9.155e-05,0.000946,-0.0004578,-0.0001831,0.000702,0.003357,0.0007324,0.0002747,-0.0003357,-0.00116
-0.000946,-0.001862,0.000824,0.001099,-0.000824,6.1e-05,-0.0007935,0.0002747,0.0004272,-0.001129,0.0001221,-0.001251,-0.002869,-0.001801,-0.001251,-0.001862,0.0004578,-0.0004883,-0.0002747,-0.000519,6.1e-05,-9.16e-05,-0.0005493,0.001007,-0.0006104,-0.00116,-0.00058,-0.001221,-9.155e-05,-0.001038,0.0003662,0.0001221,-0.001129,-0.0001221,-0.001587,-0.000885,-6.1e-05,-0.0001526,-0.0008545,-0.000519,-0.001312,-0.0001831,-0.001709,-0.001556,0.000702,-0.000702,0.0003662,-0.000519,0.0006104,-0.000824,-0.002075,-0.001953,-0.001587,-0.001373,-0.001801,-0.0009155,-3.05e-05,0.001038,-0.0003967,-0.0002747,0.0005493,0.003479,0.0006104,0.0002441,-0.0004883,-0.000977
-0.000977,-0.00177,0.0009155,0.000824,-0.000885,0.0001221,-0.000763,0.0003967,0.0003052,-0.001099,0.0002441,-0.001251,-0.002655,-0.001709,-0.001099,-0.001801,0.0004272,-0.0004272,-0.0006714,-0.0008545,-0.0001526,-3.05e-05,-0.0002747,0.001038,-0.000519,-0.001251,-0.0005493,-0.001312,-9.155e-05,-0.001038,0.0001526,0.0001221,-0.001038,-0.0001526,-0.001404,-0.000885,-3.05e-05,-0.0001831,-0.000763,-0.0003662,-0.001251,-0.0002136,-0.00177,-0.001556,0.0003662,-0.000702,0.0003662,-0.000702,0.0003662,-0.0009155,-0.001984,-0.00177,-0.001556,-0.001312,-0.001801,-0.0008545,9.155e-05,0.001007,-0.0003357,-0.0002747,0.0004272,0.003632,0.0004883,0.0002747,-0.0004272,-0.0007935
-0.001038,-0.001587,0.000946,0.0005493,-0.0008545,0.0002136,-0.000641,0.0004578,0.0003052,-0.000977,0.0001831,-0.00116,-0.002533,-0.00177,-0.000946,-0.00177,0.0003357,-0.0004578,-0.000977,-0.001129,-0.0003967,6.1e-05,9.16e-05,0.001007,-0.0004272,-0.001129,-0.0004578,-0.001282,-0.0001221,-0.001129,0.0,6.104e-05,-0.0009155,-0.0001526,-0.001129,-0.0007935,-0.0001526,-0.0002136,-0.000641,-0.0003052,-0.00119,-0.0001831,-0.001801,-0.001648,6.1e-05,-0.0007324,0.0004272,-0.000885,0.0003357,-0.001038,-0.00177,-0.001617,-0.001526,-0.001312,-0.001617,-0.000824,0.0002136,0.0009155,-0.0003662,-0.0003357,0.0003052,0.003784,0.0004578,0.0003052,-0.0003967,-0.000519
-0.001038,-0.001465,0.000885,0.0002747,-0.0007324,0.0003052,-0.00058,0.0004578,0.0003052,-0.0008545,0.0001526,-0.001068,-0.002472,-0.001801,-0.000977,-0.001709,0.0002441,-0.0004272,-0.001312,-0.001251,-0.0004883,0.0001831,0.0003052,0.001099,-0.0002747,-0.001068,-0.0003662,-0.001282,-0.0001221,-0.001282,-0.0001221,9.155e-05,-0.000824,-0.0001831,-0.0009155,-0.0009155,-0.0002441,-0.0002747,-0.000519,-0.0002136,-0.001251,-0.0001526,-0.001709,-0.001617,-0.0001831,-0.0006714,0.0004578,-0.000977,0.0002136,-0.001099,-0.001648,-0.001526,-0.001526,-0.001312,-0.001495,-0.0007935,0.0002747,0.0007935,-0.0003662,-0.0003662,0.0002747,0.003876,0.0004272,0.0002747,-0.0002747,-0.0004578
-0.001129,-0.001251,0.0007935,9.16e-05,-0.000702,0.0003662,-0.0004578,0.0004578,0.0003052,-0.000763,0.0001526,-0.000946,-0.002472,-0.001953,-0.0009155,-0.001678,0.0002441,-0.0003662,-0.001465,-0.001312,-0.0006714,0.0002441,0.00058,0.001221,-9.16e-05,-0.001007,-0.0003662,-0.001312,-0.0001221,-0.001373,-0.0002441,0.0,-0.000702,-0.0002441,-0.000885,-0.000885,-0.0001831,-0.0004272,-0.0005493,-6.1e-05,-0.001251,-0.0001831,-0.001801,-0.001617,-0.0004272,-0.000641,0.000519,-0.001129,0.0001221,-0.00119,-0.001556,-0.001404,-0.001465,-0.001221,-0.001434,-0.0007935,0.0004883,0.000763,-0.0003662,-0.0003967,0.0001526,0.003876,0.0003357,0.0002747,-9.155e-05,-0.000519
-0.001221,-0.00119,0.0006714,-0.0001526,-0.00058,0.0004883,-0.0003052,0.0004883,0.0004272,-0.0007935,0.0,-0.0009155,-0.002472,-0.002106,-0.0009155,-0.0017395,9.16e-05,-0.0003662,-0.001556,-0.001343,-0.0007935,0.0003967,0.0006714,0.001251,0.0,-0.000946,-0.0003662,-0.00119,-0.0001831,-0.001465,-0.0003357,-0.0001221,-0.00058,-0.0001831,-0.0007935,-0.0008545,-0.0002136,-0.0004883,-0.0004272,0.0,-0.001282,-0.0001831,-0.001831,-0.001678,-0.000519,-0.000702,0.00058,-0.001221,9.16e-05,-0.001129,-0.001465,-0.00119,-0.001404,-0.001099,-0.001312,-0.000763,0.000641,0.0005493,-0.0004578,-0.0003967,0.0001221,0.003845,0.0003967,0.0002441,6.104e-05,-0.0005493
