c3_1,c3_2,c3_3,d3_1,d3_2,d3_3,e3_1,e3_2,e3_3,f3_1,f3_2,f3_3,g3_1,g3_2,g3_3,a4_1,a4_2,a4_3,b3_1,b3_2,b3_3,c-3_1,c-3_2,c-3_3,d-3_1,d-3_2,d-3_3,f-3_1,f-3_2,f-3_3,g-3_1,g-3_2,g-3_3,a-4_1,a-4_2,a-4_3,c3_4,c3_5,d3_4,d3_5,e3_4,e3_5,f3_4,f3_5,g3_4,g3_5,a4_4,a4_5,b3_4,b3_5,c-3_4,c-3_5,d-3_4,d-3_5,f-3_4,f-3_5,g-3_4,g-3_5,a-4_4,a-4_5,b3_6,b3_7,e3_6,e3_7,f3_6,f3_7
0.0719,0.0596,0.00177,0.00964,0.0017395,0.000885,0.02475,0.01074,0.10706,0.3306,0.06995,0.32,0.05017,-0.0782,0.06976,-0.03616,-0.002563,-0.01468,0.0676,0.06055,0.05066,-0.05914,0.01605,-0.04797,-0.01968,-0.0612,-0.012726,0.1032,-0.02014,-0.1682,-0.2137,-0.1642,-0.4578,-0.03125,-0.03088,-0.01785,0.04706,0.01279,-0.01926,-0.011444,-0.0599,-0.02762,-0.1748,-0.2458,-0.04303,-0.0242,-0.10425,-0.0719,0.02625,0.01688,-0.0475,-0.02313,-0.0634,-0.0386,0.006927,0.01315,-0.135,-0.1802,-0.0894,-0.0835,0.04358,0.01175,0.07825,0.06323,-0.4517,0.1256
0.0756,-0.0065,0.00351,0.009094,0.003998,0.002747,0.01819,0.02484,0.1432,0.3455,0.05252,0.3577,0.067,-0.0681,0.08655,-0.01999,0.003784,-0.0119,0.06934,0.0646,0.05276,-0.05508,0.01056,-0.04114,-0.00906,-0.0523,-0.0094,0.1404,0.005127,-0.167,-0.1815,-0.1482,-0.3857,-0.0263,-0.0267,-0.009155,0.04117,0.01459,-0.01517,-0.01114,-0.04333,-0.01529,-0.2185,-0.2805,-0.0666,0.007812,-0.1024,-0.05875,0.02713,0.01575,-0.05145,-0.0341,-0.0508,-0.0386,0.09454,0.05853,-0.1467,-0.1191,-0.0774,-0.072,0.04303,0.010315,0.1223,0.1158,-0.508,0.1346
0.0548,-0.07196,0.00583,0.00714,0.00418,0.002686,0.004364,0.03217,0.1467,0.306,0.02225,0.3403,0.06995,-0.05548,0.08777,-0.0094,0.00842,-0.01227,0.0655,0.05963,0.04718,-0.05246,-0.01108,-0.03455,0.001984,-0.0402,-0.004333,0.1609,0.0274,-0.1663,-0.1377,-0.1287,-0.2988,-0.02942,-0.03137,-0.00903,0.02957,0.01526,-0.01462,-0.01312,-0.02756,-0.008575,-0.2568,-0.3196,-0.1017,0.02356,-0.09894,-0.05634,0.02475,0.01187,-0.0823,-0.0672,-0.03998,-0.03992,0.1626,0.07446,-0.1508,-0.05615,-0.06494,-0.0626,0.03424,0.00845,0.149,0.1494,-0.5,0.11707
0.018,-0.121,0.005157,0.004395,0.002136,0.000641,-0.00879,0.03622,0.1166,0.2319,-0.004242,0.2769,0.05893,-0.0406,0.0747,-0.003357,0.007538,-0.01367,0.05655,0.0515,0.03864,-0.0482,-0.0343,-0.02707,0.01288,-0.02036,0.003326,0.1635,0.05853,-0.1527,-0.09656,-0.1068,-0.2102,-0.03482,-0.03683,-0.010895,0.01224,0.01566,-0.01694,-0.01602,-0.01141,-0.005157,-0.2783,-0.3484,-0.1133,0.0278,-0.09515,-0.06366,0.01913,0.007294,-0.1332,-0.1113,-0.0346,-0.0408,0.2002,0.0719,-0.147,0.001129,-0.05054,-0.05353,0.02133,0.003265,0.1456,0.1498,-0.4575,0.08057
-0.02151,-0.1384,-0.002289,0.001862,3.05e-05,-0.001892,-0.01517,0.04556,0.0557,0.1555,-0.01703,0.1969,0.04712,-0.02194,0.0551,-0.00476,0.005005,-0.012054,0.04645,0.04022,0.0317,-0.04004,-0.04483,-0.01743,0.02228,0.003265,0.01346,0.1697,0.09686,-0.10803,-0.05624,-0.08154,-0.1294,-0.03702,-0.03763,-0.01312,-0.006866,0.012665,-0.02124,-0.01831,0.005615,-0.002289,-0.2678,-0.3418,-0.1175,0.02197,-0.088,-0.07367,0.01239,0.001434,-0.1802,-0.1492,-0.03265,-0.04062,0.2161,0.05933,-0.1266,0.0439,-0.0357,-0.0407,0.004517,-0.0008545,0.1019,0.1084,-0.399,0.0833
-0.05627,-0.1294,-0.01605,0.0004883,-0.002045,-0.004852,-0.010315,0.0594,-0.00934,0.0941,-0.010376,0.1273,0.0345,-0.003113,0.02823,-0.00952,0.001923,-0.0058,0.0336,0.03036,0.0292,-0.02707,-0.03842,-0.00586,0.03094,0.02905,0.02246,0.1863,0.1384,-0.0228,-0.0224,-0.05682,-0.06274,-0.03122,-0.03214,-0.010376,-0.02304,0.007324,-0.02371,-0.01895,0.02835,0.001495,-0.225,-0.3052,-0.1042,0.01227,-0.0785,-0.0845,0.00537,-0.003723,-0.1892,-0.1697,-0.03152,-0.03705,0.217,0.05698,-0.0945,0.068,-0.02179,-0.02518,-0.01053,-0.004852,0.0499,0.0554,-0.308,0.1481
-0.075,-0.1102,-0.02884,-3.05e-05,-0.002563,-0.00659,0.004272,0.0704,-0.053,0.0436,0.01395,0.06885,0.03357,0.0155,0.006348,-0.01782,-0.0008545,0.00357,0.02005,0.02231,0.02878,-0.01047,-0.01694,0.005493,0.03848,0.054,0.03033,0.2069,0.1744,0.09155,0.0003967,-0.03198,-0.00995,-0.01749,-0.01923,-0.002045,-0.0333,-0.0002136,-0.02396,-0.01709,0.04782,0.00821,-0.1498,-0.221,-0.05893,0.010956,-0.06805,-0.08984,-0.0004578,-0.00827,-0.1733,-0.1707,-0.02777,-0.0303,0.2135,0.08154,-0.0573,0.0764,-0.00891,-0.007294,-0.02124,-0.007965,0.00891,0.01236,-0.2081,0.223
-0.0779,-0.0789,-0.03586,0.0006104,-0.001801,-0.00769,0.02469,0.07526,-0.0656,0.01535,0.0465,0.03134,0.05014,0.0334,0.001953,-0.02524,0.0002747,0.01721,0.00757,0.01453,0.03119,0.006226,0.013794,0.0152,0.04727,0.0735,0.0356,0.2332,0.1974,0.2166,0.013885,-0.009125,0.03156,0.002594,-0.001556,0.01108,-0.03607,-0.00943,-0.02026,-0.013336,0.05994,0.01764,-0.06854,-0.11816,-0.0214,0.02063,-0.0601,-0.0853,-0.00461,-0.01129,-0.1302,-0.1366,-0.01956,-0.02402,0.2217,0.132,-0.02734,0.0758,0.002167,0.01053,-0.02737,-0.008545,-0.003021,-0.0006714,-0.1223,0.3042
-0.0658,-0.0599,-0.03516,0.001312,-0.0002136,-0.00787,0.0445,0.07336,-0.03867,0.00699,0.0762,0.0163,0.06714,0.04666,0.00995,-0.02597,0.001892,0.02905,-0.005066,0.00845,0.0321,0.01999,0.03876,0.02185,0.05673,0.08545,0.0385,0.2527,0.209,0.3188,0.01703,0.01196,0.0711,0.02423,0.01694,0.02673,-0.03433,-0.02017,-0.013,-0.008026,0.0642,0.0292,0.010864,-0.003845,0.01044,0.0453,-0.05573,-0.0716,-0.00586,-0.01218,-0.0686,-0.0846,-0.005463,-0.0187,0.2358,0.2019,-0.00949,0.06793,0.01126,0.02606,-0.0274,-0.00818,0.02167,0.02432,-0.02917,0.363
-0.03827,-0.04648,-0.02814,0.001678,0.00177,-0.00763,0.05634,0.07104,0.01657,0.00653,0.09454,0.014404,0.0856,0.05728,0.02829,-0.02213,0.005463,0.03372,-0.01395,0.0003967,0.03085,0.0285,0.05243,0.02658,0.0641,0.08527,0.0399,0.249,0.202,0.377,0.01889,0.03125,0.10925,0.04358,0.0319,0.0394,-0.03061,-0.03333,-0.00528,-0.002594,0.0653,0.0416,0.0824,0.11945,0.02322,0.07886,-0.0539,-0.0486,-0.006226,-0.01218,-0.02164,-0.03998,0.01254,-0.01672,0.2467,0.2715,0.00522,0.05978,0.0173,0.0383,-0.02386,-0.006805,0.06964,0.0753,0.0497,0.3774
