c3_1,c3_2,d3_1,d3_2,e3_1,e3_2,f3_1,f3_2,g3_1,g3_2,a3_1,a3_2,b3_1,b3_2,d-3_1,d-3_2,d-3_3,e-3_1,e-3_2,e-3_3,g-3_1,g-3_2,g-3_3,a-3_1,a-3_2,a-3_3,b-3_1,b-3_2,b-3_3
0.03287,-0.05185,-0.1393,-0.1385,-0.338,-0.1558,-0.0444,-0.04807,0.0328,0.07874,0.09753,0.007385,0.0877,-0.0636,0.009735,0.02182,0.05917,0.003204,0.005127,-0.0141,0.02881,-0.0065,0.05887,-0.002441,0.00659,0.007385,0.0,0.02243,0.0006714
0.02966,-0.0484,-0.10223,-0.1985,-0.2391,-0.1076,-0.01276,-6.104e-05,0.02277,0.0886,0.1044,0.0227,0.07056,-0.0698,0.01544,0.02402,0.06836,0.0001526,0.013794,-0.0487,0.02493,-0.007477,0.0823,0.007355,0.006256,0.00952,0.001221,0.02625,0.000977
0.01953,-0.04266,-0.05264,-0.2373,-0.11145,-0.0769,-0.007538,0.03195,0.015015,0.0874,0.1089,0.0356,0.0509,-0.0678,0.01974,0.02591,0.07324,0.00116,0.0213,-0.06128,0.0232,-0.00708,0.1005,0.0278,0.007233,0.01437,0.004913,0.02979,0.003326
0.013794,-0.03506,-0.0401,-0.2463,0.00882,-0.0648,-0.004974,0.0611,0.01358,0.0802,0.105,0.04538,0.03375,-0.05978,0.0228,0.02786,0.0747,0.007233,0.02322,-0.0488,0.02411,-0.005707,0.1122,0.05322,0.00934,0.01959,0.00961,0.03293,0.00522
0.006042,-0.02628,-0.02762,-0.2499,0.0918,-0.04315,0.009125,0.06064,0.01599,0.0708,0.10284,0.05164,0.01401,-0.05176,0.0256,0.03058,0.0731,0.01471,0.02127,-0.01688,0.0263,-0.00467,0.1262,0.0747,0.010956,0.02313,0.01395,0.03546,0.006073
-0.0006714,-0.01834,-0.03546,-0.2205,0.1565,-0.01349,0.02051,0.06082,0.02048,0.05838,0.09717,0.05405,-0.003418,-0.0399,0.02792,0.03418,0.0708,0.02042,0.01761,0.02005,0.02808,-0.00522,0.1387,0.0855,0.01175,0.02304,0.01666,0.03726,0.003693
0.004578,-0.01169,-0.0334,-0.1858,0.177,0.02786,0.04248,0.05658,0.02164,0.04858,0.09937,0.05292,-0.01682,-0.03134,0.02994,0.03854,0.06903,0.02313,0.012665,0.04654,0.02911,-0.009,0.1549,0.0848,0.0108,0.01886,0.01706,0.0378,-0.001312
0.012634,-0.00766,-0.02405,-0.1743,0.1825,0.08636,0.0625,0.04706,0.01599,0.03906,0.1102,0.0488,-0.02863,-0.02695,0.0318,0.04236,0.06836,0.02151,0.007263,0.0519,0.02902,-0.01605,0.172,0.0729,0.00827,0.01163,0.01532,0.03775,-0.0054
0.0274,-0.006348,-0.04364,-0.1555,0.1637,0.1223,0.09595,0.0417,0.003082,0.02682,0.12256,0.0418,-0.0317,-0.02643,0.0334,0.04492,0.06836,0.01724,0.00177,0.03088,0.02887,-0.02551,0.1804,0.05298,0.004578,0.00351,0.01257,0.03598,-0.009094
0.03937,-0.006653,-0.04013,-0.1365,0.1229,0.1467,0.11194,0.03662,-0.01526,0.01068,0.1372,0.03247,-0.03052,-0.03366,0.03543,0.0451,0.06793,0.01236,-0.002228,-0.01114,0.0293,-0.0359,0.1821,0.02972,0.0002747,-0.002655,0.01013,0.0324,-0.008026
0.04514,-0.00864,-0.05185,-0.09076,0.08215,0.144,0.0989,0.03995,-0.03183,-0.010254,0.1421,0.02158,-0.02505,-0.04233,0.0362,0.04147,0.0637,0.00937,-0.005127,-0.05917,0.03006,-0.04517,0.1699,0.007233,-0.003662,-0.005615,0.00897,0.02771,-0.002167
0.05075,-0.01114,-0.0925,-0.02634,0.0336,0.11084,0.0859,0.02722,-0.0458,-0.03021,0.1398,0.01016,-0.014496,-0.05215,0.03616,0.0349,0.05692,0.009735,-0.00806,-0.0985,0.03076,-0.05176,0.1399,-0.01102,-0.006927,-0.004852,0.00937,0.02051,0.006042
0.04468,-0.01428,-0.12476,0.02441,0.0009155,0.0709,0.05157,0.006958,-0.05524,-0.0496,0.1311,-0.0004578,-0.005707,-0.06155,0.0338,0.02576,0.05234,0.01245,-0.0112,-0.1156,0.0297,-0.05423,0.0943,-0.02359,-0.00928,-0.000946,0.01117,0.01199,0.01535
0.03555,-0.01898,-0.175,0.07153,-0.02493,0.009674,0.01865,-0.005554,-0.05963,-0.0658,0.10693,-0.01007,0.003815,-0.06604,0.02872,0.01514,0.04947,0.01575,-0.01575,-0.10925,0.02625,-0.0523,0.039,-0.02997,-0.010315,0.003845,0.01349,0.004547,0.02618
0.02261,-0.02518,-0.1924,0.0891,-0.06223,-0.04507,0.0087,-0.01553,-0.06195,-0.0763,0.0779,-0.01865,0.01102,-0.0696,0.02313,0.005157,0.04724,0.01682,-0.02252,-0.0824,0.02008,-0.04636,-0.01099,-0.03122,-0.010345,0.006958,0.01529,-0.0008545,0.0356
0.001404,-0.03284,-0.1749,0.0773,-0.08875,-0.09937,0.01569,-0.00903,-0.06256,-0.08374,0.04776,-0.02563,0.01486,-0.0714,0.01672,-0.003052,0.04254,0.0155,-0.02908,-0.05173,0.011536,-0.0378,-0.05103,-0.03091,-0.00986,0.00647,0.01581,-0.003387,0.03973
-0.01953,-0.0405,-0.1514,0.06207,-0.1289,-0.1448,0.06396,0.01755,-0.06323,-0.0846,0.01862,-0.03033,0.01978,-0.07324,0.01172,-0.00906,0.0342,0.0126,-0.03384,-0.02216,0.002228,-0.02905,-0.07886,-0.03305,-0.009674,0.001495,0.01465,-0.003082,0.04092
-0.0441,-0.0467,-0.1001,0.03128,-0.1661,-0.171,0.1236,0.057,-0.0626,-0.0792,-0.003479,-0.0329,0.02097,-0.0763,0.00897,-0.013214,0.02136,0.007233,-0.03543,-0.013306,-0.006775,-0.02176,-0.0902,-0.04,-0.010315,-0.006287,0.01166,-0.0004883,0.03946
-0.06726,-0.05054,-0.06335,-0.006622,-0.1937,-0.188,0.1772,0.1172,-0.05994,-0.069,-0.02414,-0.0333,0.021,-0.07764,0.00806,-0.01706,0.005127,-0.001038,-0.03284,-0.0163,-0.01471,-0.01749,-0.0901,-0.05203,-0.012054,-0.01511,0.007263,0.00241,0.03583
-0.08655,-0.0508,-0.02982,-0.0449,-0.2201,-0.1821,0.2144,0.1715,-0.05603,-0.054,-0.03165,-0.03156,0.01993,-0.078,0.008514,-0.01993,-0.008026,-0.01062,-0.02692,-0.03156,-0.02164,-0.01657,-0.0819,-0.0661,-0.01456,-0.02222,0.002289,0.003845,0.03079
-0.1058,-0.04745,-0.0007935,-0.0814,-0.2172,-0.1694,0.2148,0.2137,-0.05002,-0.04007,-0.03162,-0.0285,0.014496,-0.07355,0.00833,-0.02292,-0.01492,-0.01898,-0.01901,-0.05646,-0.02768,-0.01889,-0.07056,-0.07916,-0.01688,-0.02539,-0.00241,0.003906,0.02557
-0.1175,-0.04044,-0.0065,-0.11084,-0.2057,-0.1547,0.199,0.2407,-0.0411,-0.03036,-0.02658,-0.025,0.006805,-0.0646,0.00711,-0.02713,-0.01593,-0.0232,-0.01227,-0.0742,-0.03275,-0.02258,-0.05826,-0.08594,-0.01816,-0.02448,-0.00592,0.00238,0.02167
-0.12427,-0.03058,-0.006805,-0.1337,-0.1797,-0.1268,0.1677,0.2395,-0.02802,-0.02515,-0.00995,-0.0213,-0.00537,-0.05246,0.003448,-0.03055,-0.01416,-0.02213,-0.00757,-0.09094,-0.03687,-0.02383,-0.04425,-0.08264,-0.01804,-0.01996,-0.00812,3.05e-05,0.01837
-0.1243,-0.01953,-0.0163,-0.1425,-0.1375,-0.0934,0.1218,0.2249,-0.00818,-0.02283,0.0054,-0.01678,-0.01895,-0.0361,-0.002747,-0.03296,-0.0134,-0.01639,-0.004486,-0.08044,-0.04,-0.02234,-0.03702,-0.06854,-0.01636,-0.01398,-0.01022,-0.002045,0.0155
-0.1157,-0.008484,-0.02719,-0.145,-0.0974,-0.0648,0.08777,0.1893,0.01547,-0.0159,0.02136,-0.01071,-0.0321,-0.0184,-0.009094,-0.0335,-0.01736,-0.00873,-0.003204,-0.0578,-0.0423,-0.01752,-0.0339,-0.04553,-0.01367,-0.00882,-0.011536,-0.003815,0.01276
-0.1044,0.0006104,-0.02344,-0.1418,-0.05325,-0.03568,0.05804,0.1445,0.03815,-0.002747,0.0366,-0.00232,-0.04498,0.0004883,-0.01474,-0.0319,-0.0289,-0.003143,-0.002136,-0.01758,-0.04333,-0.00955,-0.03473,-0.02011,-0.01065,-0.006256,-0.01196,-0.005096,0.00824
-0.08765,0.006714,-0.0326,-0.1346,-0.02005,-0.01596,0.04056,0.10645,0.0573,0.01746,0.04492,0.008606,-0.05322,0.02008,-0.01859,-0.02823,-0.0461,-0.002136,-0.001709,0.03745,-0.04288,-0.001221,-0.04214,0.001251,-0.00827,-0.007385,-0.01199,-0.00638,0.000824
-0.06995,0.00903,-0.0192,-0.1431,0.003937,-0.0017395,0.02795,0.067,0.06946,0.04135,0.05133,0.02066,-0.05734,0.0392,-0.01984,-0.02219,-0.06433,-0.005493,-0.001526,0.0842,-0.04102,0.004974,-0.05106,0.01285,-0.00711,-0.01138,-0.01099,-0.00824,-0.00705
-0.05292,0.00717,-0.003937,-0.1528,0.01862,0.00699,0.00998,0.03616,0.0743,0.062,0.04895,0.03256,-0.05682,0.0578,-0.01968,-0.01538,-0.0755,-0.009735,-0.000977,0.1156,-0.03815,0.007446,-0.0646,0.01254,-0.00702,-0.01706,-0.00867,-0.01056,-0.01428
-0.0345,0.002106,0.01132,-0.1564,0.01804,0.004547,0.0003052,0.00293,0.0738,0.077,0.0406,0.04324,-0.05264,0.07275,-0.01804,-0.0083,-0.0756,-0.01141,-0.0005493,0.131,-0.03476,0.006866,-0.0751,0.002686,-0.007996,-0.02228,-0.005737,-0.013306,-0.01999
-0.01944,-0.005554,0.04517,-0.1567,0.01773,-0.00537,-0.01804,-0.02673,0.06775,0.0817,0.0307,0.05164,-0.04776,0.0842,-0.0173,-0.001678,-0.06055,-0.00906,-0.0001526,0.135,-0.03198,0.004303,-0.07837,-0.01175,-0.00961,-0.02509,-0.003357,-0.01523,-0.02264
-0.004456,-0.01486,0.0654,-0.1464,0.01682,-0.02628,-0.03207,-0.0456,0.05618,0.0751,0.01727,0.05603,-0.04147,0.092,-0.01715,0.003662,-0.03613,-0.003235,6.104e-05,0.11176,-0.03073,0.0006714,-0.07874,-0.0238,-0.01126,-0.02475,-0.001465,-0.01611,-0.0221
0.00806,-0.02457,0.0814,-0.1355,0.01248,-0.0465,-0.0359,-0.06216,0.03952,0.05884,0.00705,0.0556,-0.03702,0.0945,-0.01773,0.00839,-0.01117,0.003693,0.0006714,0.0825,-0.0315,-0.001831,-0.07764,-0.02808,-0.01251,-0.02148,0.0001526,-0.01648,-0.01941
0.01553,-0.03397,0.0845,-0.1296,0.007965,-0.0729,-0.0402,-0.06775,0.01733,0.0357,-0.002106,0.05054,-0.03506,0.0935,-0.01904,0.012146,0.01141,0.008484,0.001556,0.06143,-0.03424,-0.002533,-0.0812,-0.02255,-0.01288,-0.01697,0.001526,-0.01666,-0.01654
0.02005,-0.0417,0.0708,-0.1351,-0.005005,-0.09985,-0.03378,-0.06555,-0.009796,0.00882,-0.00821,0.04126,-0.0332,0.0891,-0.01901,0.01529,0.02423,0.00885,0.001984,0.0444,-0.03806,-0.001038,-0.08655,-0.00964,-0.01233,-0.012634,0.002472,-0.01697,-0.01367
0.01788,-0.0468,0.0631,-0.1421,-0.02002,-0.1079,-0.02704,-0.06384,-0.03986,-0.01813,-0.007996,0.02914,-0.03262,0.08105,-0.0181,0.018,0.02502,0.004578,0.001312,0.03293,-0.04166,0.001801,-0.0911,0.006287,-0.01105,-0.01007,0.00357,-0.01712,-0.01102
0.01224,-0.0491,0.04626,-0.1433,-0.02908,-0.0862,-0.02145,-0.05887,-0.06934,-0.04343,-0.004303,0.0166,-0.032,0.0695,-0.014984,0.01978,0.01767,-0.001556,-0.000824,0.02478,-0.04446,0.004303,-0.0928,0.01944,-0.00949,-0.010315,0.004456,-0.01614,-0.00885
0.005615,-0.04846,0.03586,-0.1455,-0.02847,-0.03497,-0.01291,-0.05463,-0.0962,-0.06714,0.00589,0.005096,-0.03168,0.0539,-0.01074,0.0209,0.00714,-0.006714,-0.003967,0.01736,-0.04572,0.005615,-0.082,0.02621,-0.00809,-0.01312,0.00522,-0.01343,-0.007355
