a3_x,b3_y,c3_z
0.005463,0.003174,0.0065
0.00522,0.003235,0.006744
0.004913,0.003296,0.006744
0.004578,0.003357,0.00647
0.004272,0.003418,0.006073
0.003937,0.003479,0.005585
0.00357,0.003448,0.005096
0.003235,0.003479,0.004486
0.00299,0.00351,0.003937
0.002808,0.00354,0.003296
0.002747,0.003662,0.002625
0.002716,0.003876,0.001984
0.002716,0.00412,0.00116
0.002716,0.004395,0.0002747
0.002747,0.00467,-0.0006714
0.002716,0.004974,-0.001617
0.002655,0.00522,-0.002502
0.002625,0.005493,-0.003357
0.002533,0.005585,-0.00412
0.00232,0.005737,-0.00479
0.002197,0.005768,-0.005463
0.001892,0.005737,-0.006226
0.001617,0.005585,-0.006805
0.001373,0.00531,-0.007477
0.001068,0.004944,-0.007904
0.0007935,0.004486,-0.00827
0.0005493,0.003998,-0.00845
0.0003357,0.003479,-0.00845
9.155e-05,0.003021,-0.00839
0.0,0.002502,-0.00812
-6.104e-05,0.002014,-0.007935
-0.0001221,0.001617,-0.00763
-9.155e-05,0.001221,-0.007263
-0.0001526,0.000885,-0.00702
-0.0001221,0.00058,-0.006714
-0.0001831,0.0002747,-0.00638
-0.0003052,6.104e-05,-0.006012
-0.0003967,-0.0001221,-0.005615
-0.000519,-0.0004272,-0.00522
-0.000641,-0.0006714,-0.00473
-0.000824,-0.000977,-0.004303
-0.000946,-0.001251,-0.003906
-0.00116,-0.001526,-0.00351
-0.001282,-0.001709,-0.003174
-0.001434,-0.001953,-0.002777
-0.001648,-0.002197,-0.00232
-0.001831,-0.002502,-0.001862
-0.002075,-0.002777,-0.001282
-0.00232,-0.003082,-0.000641
-0.002625,-0.003418,6.104e-05
-0.0029,-0.003601,0.0007324
-0.003113,-0.003693,0.001404
-0.003357,-0.003784,0.002045
-0.00351,-0.003815,0.002563
-0.003632,-0.003815,0.003082
-0.003693,-0.003906,0.003632
-0.003723,-0.00403,0.00418
-0.003784,-0.00415,0.00464
-0.003784,-0.004303,0.005096
-0.003784,-0.004456,0.005554
-0.003723,-0.00461,0.00589
-0.003632,-0.00464,0.006165
-0.003601,-0.0047,0.00644
-0.00357,-0.0047,0.006622
-0.00357,-0.00464,0.006683
-0.00357,-0.004578,0.006836
-0.003601,-0.004425,0.006836
-0.003601,-0.004242,0.006866
-0.003662,-0.003967,0.006805
-0.003784,-0.003632,0.006622
-0.003876,-0.003357,0.00647
-0.003845,-0.003021,0.006104
-0.003967,-0.002716,0.005676
-0.003906,-0.002472,0.005066
-0.003784,-0.002258,0.004333
-0.003632,-0.002014,0.003479
-0.003448,-0.001862,0.002747
-0.003204,-0.001709,0.001923
-0.00293,-0.001556,0.00116
-0.002716,-0.001434,0.000519
