a3,b3,c3
-0.002777,0.0004883,0.000946
-0.003021,0.0004883,0.001465
-0.003174,0.000641,0.0017395
-0.003143,0.000702,0.001587
-0.00296,0.000885,0.00116
-0.002777,0.001068,0.0004883
-0.00241,0.001251,-0.0001831
-0.001984,0.001465,-0.00058
-0.001587,0.001648,-0.0007935
-0.001129,0.001801,-0.0004578
-0.000702,0.001892,0.0001526
-0.0001831,0.002014,0.001099
0.0001831,0.002045,0.002045
0.000519,0.001984,0.00296
0.000824,0.001892,0.003937
0.001038,0.00177,0.00467
0.001221,0.001617,0.00522
0.001312,0.001312,0.005585
0.001312,0.001099,0.005585
0.001343,0.000824,0.00531
0.001312,0.0006104,0.00479
0.001282,0.0003052,0.003845
0.001251,3.05e-05,0.002777
0.00119,-0.0002136,0.001343
0.00116,-0.0003967,3.05e-05
0.001068,-0.0005493,-0.00119
0.001038,-0.000763,-0.002167
0.000977,-0.000946,-0.002869
0.000824,-0.00116,-0.003296
0.0007324,-0.001251,-0.003448
0.000519,-0.001373,-0.003479
0.0003662,-0.001556,-0.003479
0.0001831,-0.001678,-0.003662
-3.05e-05,-0.001831,-0.003967
-0.0002441,-0.002045,-0.004486
-0.0004578,-0.002228,-0.005127
-0.0006714,-0.00238,-0.00583
-0.000885,-0.002563,-0.00644
-0.00116,-0.002655,-0.006927
-0.001282,-0.002838,-0.007294
-0.001465,-0.0029,-0.007446
-0.001617,-0.0029,-0.00763
-0.0017395,-0.003021,-0.00766
-0.001801,-0.003021,-0.0076
-0.001831,-0.00296,-0.007385
-0.001831,-0.002869,-0.006958
-0.00177,-0.002838,-0.006195
-0.001678,-0.002594,-0.00522
-0.001587,-0.002441,-0.003906
-0.001434,-0.002289,-0.00232
-0.001373,-0.002136,-0.000519
-0.00119,-0.001923,0.001404
-0.001007,-0.001831,0.003265
-0.0008545,-0.001678,0.005005
-0.0006714,-0.001526,0.00659
-0.0004883,-0.001343,0.007812
-0.0003357,-0.001221,0.008575
-0.0001526,-0.00119,0.00891
-6.104e-05,-0.001099,0.0087
3.05e-05,-0.0009155,0.00809
0.0001831,-0.000824,0.007233
0.0002136,-0.000702,0.006256
0.0003967,-0.0005493,0.00525
0.0004578,-0.0003662,0.004242
0.0003967,-0.0001831,0.003357
0.0004272,-6.104e-05,0.002472
0.0003357,0.0001526,0.001587
0.0002441,0.0002747,0.0004578
0.0001526,0.0004883,-0.0007935
0.0,0.0006714,-0.002106
-0.0002441,0.000763,-0.003418
-0.0004883,0.000885,-0.004547
-0.000763,0.000946,-0.00537
-0.000946,0.001007,-0.00583
-0.00116,0.000977,-0.00595
-0.001373,0.001038,-0.005768
-0.001587,0.000946,-0.00531
-0.001801,0.000977,-0.00479
-0.001831,0.000946,-0.00418
-0.001953,0.0008545,-0.003479
-0.001923,0.000824,-0.002686
-0.001862,0.000763,-0.00177
-0.001801,0.000702,-0.0008545
-0.001648,0.0006714,0.0001526
-0.001465,0.000702,0.001007
-0.001221,0.0006714,0.001831
-0.000977,0.000763,0.002563
-0.000641,0.0007935,0.003052
-0.0003052,0.000824,0.00354
-3.05e-05,0.0009155,0.003815
0.0002136,0.001038,0.003967
0.0004272,0.00116,0.00403
0.0007324,0.001221,0.00412
0.0009155,0.001373,0.00403
0.000977,0.001434,0.003937
0.001129,0.001465,0.003845
0.001129,0.001495,0.00357
0.00119,0.001526,0.003265
0.001221,0.001434,0.002777
0.00119,0.001434,0.002228
0.00116,0.001343,0.001617
0.001129,0.00119,0.0009155
0.000977,0.001038,0.0003052
0.0009155,0.000763,-0.0002136
0.000885,0.0005493,-0.0006714
0.0007935,0.0004272,-0.001007
0.000824,0.0001526,-0.001373
0.0006714,-6.104e-05,-0.00177
0.0006104,-0.0002136,-0.002106
0.000519,-0.0004272,-0.002625
0.0004883,-0.000641,-0.003204
0.0004272,-0.0007324,-0.003845
0.0002136,-0.000885,-0.004395
0.0001526,-0.001007,-0.004913
0.0,-0.001068,-0.00528
-9.155e-05,-0.001038,-0.0054
-0.0002136,-0.001068,-0.00528
-0.0002747,-0.001038,-0.004944
-0.0003967,-0.001038,-0.004578
-0.0004883,-0.001007,-0.00418
-0.0005493,-0.000885,-0.003784
-0.00058,-0.000946,-0.003357
-0.00058,-0.000885,-0.00296
-0.0004883,-0.000824,-0.00241
-0.0004272,-0.0007935,-0.001831
-0.0003052,-0.0008545,-0.001251
-0.0002136,-0.0008545,-0.0004883
-3.05e-05,-0.000885,0.0001221
0.0001526,-0.000946,0.000824
0.0003052,-0.001038,0.001373
0.0003662,-0.001099,0.001801
0.0004883,-0.001129,0.002197
0.00058,-0.001129,0.002533
0.00058,-0.001221,0.002808
0.0006104,-0.001312,0.00293
0.0005493,-0.001312,0.003082
0.0004578,-0.001282,0.003143
0.0003052,-0.001251,0.003174
0.0001831,-0.001221,0.003265
6.104e-05,-0.00119,0.003143
-0.0001221,-0.001129,0.00293
-0.0003052,-0.000977,0.002594
-0.0003967,-0.0009155,0.002167
