a3,b3,c3
-0.0003052,-0.0003052,0.0004578
-0.0003052,-0.0002747,0.0003967
-0.0003357,-0.0002441,0.0002747
-0.0002747,-0.0002747,0.0002136
-0.0003357,-0.0002136,0.0001831
-0.0004272,-0.0001526,0.0001831
-0.0004883,-0.0001526,0.0002136
-0.0004883,-0.0001526,0.0002441
-0.0004883,-0.0001526,0.0002136
-0.0004883,-0.0001221,0.0001831
-0.0005493,-6.104e-05,0.0002136
-0.00058,-0.0001221,0.0002136
-0.00058,-9.155e-05,0.0001526
-0.0006714,-0.0001221,0.0001526
-0.0006714,-9.155e-05,0.0001526
-0.0006714,-3.05e-05,0.0001221
-0.000702,-3.05e-05,0.0001526
-0.0007935,0.0,0.0001526
-0.000763,0.0,6.104e-05
-0.0007935,3.05e-05,6.104e-05
-0.0008545,0.0,-0.0001221
-0.000885,9.155e-05,-0.0001221
-0.0009155,0.0001221,-6.104e-05
-0.0008545,0.0001831,-0.0003052
-0.0008545,0.0001831,-0.0003662
-0.000885,0.0001831,-0.0003967
-0.000824,0.0002136,-0.0004272
-0.0008545,0.0002136,-0.0004578
-0.0007935,0.0002747,-0.0004883
-0.000763,0.0002747,-0.0004578
-0.000763,0.0003052,-0.0004578
-0.0007324,0.0003052,-0.0004578
-0.0006714,0.0003357,-0.0004272
-0.000641,0.0003662,-0.0003357
-0.000641,0.0003357,-0.0002136
-0.00058,0.0002747,-6.104e-05
-0.000519,0.0002441,6.104e-05
-0.0005493,0.0002441,0.0001221
-0.0004883,0.0002136,0.0002747
-0.0004883,0.0001831,0.0003357
-0.0004272,0.0002136,0.0003967
-0.0003967,0.0002136,0.0004578
-0.0003357,0.0001526,0.000519
-0.0003662,0.0001221,0.00058
-0.0003662,6.104e-05,0.0006104
-0.0003357,3.05e-05,0.0006714
-0.0002747,9.155e-05,0.000702
-0.0002747,6.104e-05,0.000702
-0.0002747,6.104e-05,0.0006104
-0.0002136,0.0001221,0.00058
-0.0001526,9.155e-05,0.0004883
-9.155e-05,3.05e-05,0.0004883
-9.155e-05,3.05e-05,0.0003662
-6.104e-05,6.104e-05,0.0003357
-3.05e-05,6.104e-05,0.0002747
0.0,0.0,0.0002441
6.104e-05,3.05e-05,0.0002441
0.0001526,0.0,0.0002136
0.0002136,3.05e-05,0.0002136
0.0001831,-9.155e-05,0.0001831
0.0002441,-6.104e-05,0.0002136
0.0002441,-9.155e-05,0.0002136
0.0002747,-0.0001526,0.0002441
0.0001831,-9.155e-05,0.0003357
0.0002441,-0.0001221,0.0003357
0.0002136,-0.0001831,0.0003967
0.0001526,-0.0001831,0.0004883
0.0001831,-0.0001831,0.0006104
6.104e-05,-0.0001831,0.000641
3.05e-05,-0.0002441,0.00058
0.0,-0.0003052,0.000641
-0.0001526,-0.0003052,0.0004883
-0.0001526,-0.0003357,0.0003967
-0.0002136,-0.0003357,0.0003357
-0.0002747,-0.0003967,0.0003052
-0.0002747,-0.0003357,0.0002136
-0.0003662,-0.0003967,0.0001221
-0.0003967,-0.0004272,0.0
-0.0004883,-0.0004578,-9.155e-05
-0.0004578,-0.0003967,-0.0002136
-0.0004578,-0.0003967,-0.0003662
-0.0004883,-0.0003967,-0.0004883
-0.0004883,-0.0004578,-0.0006104
-0.0005493,-0.0004578,-0.000702
-0.0004883,-0.0003967,-0.000885
-0.0004883,-0.0003967,-0.0009155
-0.000519,-0.0004272,-0.000946
-0.0004578,-0.0003967,-0.000977
-0.0004578,-0.0003052,-0.001129
-0.0004578,-0.0003357,-0.001038
-0.0004578,-0.0002747,-0.001038
-0.0004883,-0.0003052,-0.001038
-0.0004883,-0.0002136,-0.001007
-0.0004883,-0.0002136,-0.000977
-0.0004883,-0.0002441,-0.000885
-0.0004883,-0.0001831,-0.0008545
-0.0005493,-0.0001526,-0.0007935
-0.0005493,-0.0001831,-0.0007324
-0.00058,-0.0001526,-0.0006104
-0.0006104,-9.155e-05,-0.000519
-0.00058,-6.104e-05,-0.0004578
-0.00058,-9.155e-05,-0.0003662
-0.00058,-3.05e-05,-0.0002747
-0.00058,-3.05e-05,-0.0002441
-0.00058,0.0,-0.0002441
-0.00058,9.155e-05,-0.0002747
-0.000519,6.104e-05,-0.0003052
-0.0004578,0.0001526,-0.0003357
-0.0004883,0.0001221,-0.0004272
-0.0004272,0.0001221,-0.0004272
-0.0003357,0.0001221,-0.0004578
-0.0003052,0.0001526,-0.0004272
-0.0002747,0.0001831,-0.0004883
-0.0002441,0.0001831,-0.000519
-0.0001831,0.0002136,-0.000519
-0.0001831,0.0001526,-0.000519
-0.0001221,0.0002136,-0.0004578
-0.0001221,0.0001831,-0.0003357
-6.104e-05,0.0002136,-0.0001831
0.0,0.0001526,3.05e-05
-6.104e-05,0.0002136,0.0002136
3.05e-05,0.0001831,0.0003357
-3.05e-05,0.0001831,0.0005493
0.0,0.0001831,0.0007324
6.104e-05,0.0001831,0.0008545
6.104e-05,0.0001221,0.000977
6.104e-05,0.0001526,0.001068
0.0001221,0.0002136,0.001129
0.0001526,0.0001831,0.00119
0.0001221,0.0001526,0.00119
0.0002136,0.0001526,0.00116
0.0002441,0.0002441,0.00116
0.0003662,0.0001831,0.001099
0.0003662,0.0001831,0.000977
0.0004578,0.0001526,0.0009155
0.0004883,0.0001526,0.0007935
0.0004883,0.0001526,0.000641
0.0004578,0.0001526,0.0004578
0.0003967,0.0002136,0.0004272
0.000519,0.0001526,0.0003052
0.0004883,0.0001526,0.0002136
0.0004578,0.0001526,3.05e-05
0.0004578,9.155e-05,-6.104e-05
0.0004578,0.0001221,-9.155e-05
0.0004272,3.05e-05,-0.0001831
0.0004272,3.05e-05,-0.0001526
0.0004272,0.0,-0.0001831
0.0003967,-6.104e-05,-0.0002136
0.0003357,-6.104e-05,-0.0002136
0.0003662,-9.155e-05,-0.0001221
0.0003662,-0.0001831,-9.155e-05
0.0003052,-0.0002136,-9.155e-05
0.0003357,-0.0002136,0.0
0.0002747,-0.0002441,3.05e-05
0.0002747,-0.0002441,0.0
0.0002747,-0.0002441,3.05e-05
0.0003052,-0.0002747,-9.155e-05
0.0003052,-0.0002441,-0.0001221
0.0002747,-0.0002136,-0.0002441
0.0003357,-0.0002441,-0.0004272
0.0003357,-0.0001831,-0.000519
0.0003357,-0.0001831,-0.0005493
0.0003662,-0.0001831,-0.0006714
0.0003662,-9.155e-05,-0.0007935
0.0004272,-0.0001221,-0.0008545
0.0004272,-0.0001526,-0.000977
0.0004272,-9.155e-05,-0.001129
0.0003662,-0.0001831,-0.001221
0.0003967,-9.155e-05,-0.001282
0.0003662,-0.0001221,-0.001282
0.0003662,-0.0001831,-0.001373
0.0003662,-0.0001221,-0.001282
0.0003967,-0.0001221,-0.00116
0.0003967,-9.155e-05,-0.001099
0.0003662,-0.0001221,-0.000946
0.0003357,-0.0001221,-0.000824
0.0002747,-9.155e-05,-0.0006714
0.0003357,-3.05e-05,-0.0006104
0.0002441,3.05e-05,-0.00058
0.0002441,3.05e-05,-0.0004883
0.0002136,3.05e-05,-0.0003662
0.0001221,3.05e-05,-0.0003662
0.0002136,0.0001221,-0.0002747
0.0001221,9.155e-05,-0.0001526
0.0001221,0.0001221,-9.155e-05
6.104e-05,0.0001221,-0.0001221
6.104e-05,0.0001831,-9.155e-05
6.104e-05,0.0001831,-9.155e-05
3.05e-05,0.0001831,-3.05e-05
3.05e-05,0.0002136,-3.05e-05
0.0,0.0002136,3.05e-05
-3.05e-05,0.0001831,-6.104e-05
-3.05e-05,0.0002441,-6.104e-05
-3.05e-05,0.0003052,-3.05e-05
-6.104e-05,0.0002441,0.0
-0.0001221,0.0002747,0.0
-0.0001526,0.0002441,3.05e-05
-0.0001831,0.0003357,6.104e-05
-0.0002441,0.0002747,9.155e-05
-0.0002441,0.0003052,9.155e-05
-0.0002136,0.0003662,0.0001221
-0.0001831,0.0003357,0.0001831
-0.0002136,0.0003662,0.0001831
-0.0001831,0.0003662,9.155e-05
-0.0002136,0.0003662,0.0001221
-0.0002747,0.0003052,0.0001526
-0.0002441,0.0003052,0.0003052
-0.0002136,0.0003052,0.0003967
-0.0002747,0.0002441,0.0004272
-0.0003357,0.0002136,0.0004272
-0.0003052,0.0001831,0.0004883
-0.0003357,0.0001221,0.0004883
-0.0003357,9.155e-05,0.0004272
-0.0003357,9.155e-05,0.0004578
-0.0003357,-3.05e-05,0.0004272
-0.0003662,-9.155e-05,0.0003967
-0.0004272,-6.104e-05,0.0003662
-0.0003662,-0.0001526,0.0003052
-0.0003662,-0.0001526,0.0002747
-0.0003967,-0.0001831,0.0001831
-0.0003357,-0.0001831,0.0001526
-0.0003662,-0.0002441,0.0002441
-0.0004272,-0.0002747,0.0002747
-0.0003662,-0.0002747,0.0003357
